date,value,cash,open_trades
2024-01-02,10000.0,10000.0,0
2024-01-03,10000.0,10000.0,0
2024-01-04,10000.0,10000.0,0
2024-01-05,10000.0,10000.0,0
2024-01-08,10000.0,6028.77,1
2024-01-09,10039.71,3672.73,2
2024-01-10,10075.34,4654.49,2
2024-01-11,10133.82,6131.81,1
2024-01-12,10125.64,6131.81,1
2024-01-16,10173.83,3733.23,2
2024-01-17,10173.96,3735.59,2
2024-01-18,10334.34,3782.59,2
2024-01-19,10424.26,3820.67,2
2024-01-22,10381.2,4865.02,2
2024-01-23,10396.17,4865.02,2
2024-01-24,10521.91,3853.23,2
2024-01-25,10613.55,10613.55,0
2024-01-26,10613.55,10613.55,0
2024-01-29,10613.55,10613.55,0
2024-01-30,10613.55,10613.55,0
2024-01-31,10613.55,10613.55,0
2024-02-01,10613.55,10613.55,0
2024-02-02,10613.55,6379.31,1
2024-02-05,10782.92,6484.34,1
2024-02-06,10714.17,6484.34,1
2024-02-07,10825.91,6549.87,1
2024-02-08,10797.97,6549.87,1
2024-02-09,10868.67,6540.69,1
2024-02-12,10911.95,6577.07,1
2024-02-13,10955.3,10955.3,0
2024-02-14,10955.3,10955.3,0
2024-02-15,10955.3,10955.3,0
2024-02-16,10955.3,10955.3,0
2024-02-20,10955.3,10955.3,0
2024-02-21,10955.3,10955.3,0
2024-02-22,10955.3,2480.54,3
2024-02-23,11169.63,6755.88,1
2024-02-26,11257.9,11257.9,0
2024-02-27,11257.9,11257.9,0
2024-02-28,11257.9,11257.9,0
2024-02-29,11257.9,6829.71,1
2024-03-01,11435.03,4260.6,2
2024-03-04,11506.77,2653.18,3
2024-03-05,11535.94,7215.92,2
2024-03-06,11665.37,1637.22,4
2024-03-07,11839.44,4305.35,2
2024-03-08,11771.86,11771.86,0
2024-03-11,11771.86,11771.86,0
2024-03-12,11771.86,7112.79,1
2024-03-13,11653.67,7112.79,1
2024-03-14,11648.62,4335.8,2
2024-03-15,11540.2,4272.22,2
2024-03-18,11670.8,7136.93,1
2024-03-19,11699.08,7136.93,1
2024-03-20,11787.42,2621.39,3
2024-03-21,12162.99,12162.99,0
2024-03-22,12162.99,12162.99,0
2024-03-25,12162.99,12162.99,0
2024-03-26,12162.99,12162.99,0
2024-03-27,12162.99,12162.99,0
2024-03-28,12162.99,12162.99,0
2024-04-01,12162.99,12162.99,0
2024-04-02,12162.99,12162.99,0
2024-04-03,12162.99,12162.99,0
2024-04-04,12162.99,12162.99,0
2024-04-05,12162.99,7320.09,1
2024-04-08,12156.39,7320.09,1
2024-04-09,12211.42,4535.34,2
2024-04-10,12288.17,12288.17,0
2024-04-11,12288.17,12288.17,0
2024-04-12,12288.17,12288.17,0
2024-04-15,12288.17,12288.17,0
2024-04-16,12288.17,2686.81,3
2024-04-17,12311.27,12311.27,0
2024-04-18,12311.27,4526.15,2
2024-04-19,12544.82,12544.82,0
2024-04-22,12544.82,1757.83,4
2024-04-23,12702.79,12702.79,0
2024-04-24,12702.79,4618.27,2
2024-04-25,12783.63,7743.08,1
2024-04-26,12884.44,12884.44,0
2024-04-29,12884.44,12884.44,0
2024-04-30,12884.44,12884.44,0
2024-05-01,12884.44,12884.44,0
2024-05-02,12884.44,4711.35,2
2024-05-03,13211.36,13211.36,0
2024-05-06,13211.36,13211.36,0
2024-05-07,13211.36,13211.36,0
2024-05-08,13211.36,7961.3,1
2024-05-09,13263.86,13263.86,0
2024-05-10,13263.86,7991.67,1
2024-05-13,13316.58,13316.58,0
2024-05-14,13316.58,13316.58,0
2024-05-15,13316.58,13316.58,0
2024-05-16,13316.58,4897.22,2
2024-05-17,13504.86,13504.86,0
2024-05-20,13504.86,13504.86,0
2024-05-21,13504.86,13504.86,0
2024-05-22,13504.86,13504.86,0
2024-05-23,13504.86,4881.45,2
2024-05-24,13591.09,8161.17,1
2024-05-28,13808.29,5051.18,2
2024-05-29,13755.86,10573.1,1
2024-05-30,13800.8,10573.1,1
2024-05-31,13670.84,13670.84,0
2024-06-03,13670.84,13670.84,0
2024-06-04,13670.84,8314.74,1
2024-06-05,13724.4,1887.09,4
2024-06-06,13755.3,7382.2,3
2024-06-07,13766.73,7382.2,3
2024-06-10,13878.14,12627.68,1
2024-06-11,13896.64,8410.78,1
2024-06-12,13951.5,8425.39,1
2024-06-13,14172.54,8599.31,1
2024-06-14,14228.27,8557.43,1
2024-06-17,14284.98,14284.98,0
2024-06-18,14284.98,8590.62,1
2024-06-20,14455.81,14455.81,0
2024-06-21,14455.81,14455.81,0
2024-06-24,14455.81,14455.81,0
2024-06-25,14455.81,5288.89,2
2024-06-26,14513.18,11031.41,1
2024-06-27,14547.48,14547.48,0
2024-06-28,14547.48,14547.48,0
2024-07-01,14547.48,5523.5,2
2024-07-02,14998.68,3481.51,3
2024-07-03,15169.36,5560.15,2
2024-07-05,15361.55,3560.09,3
2024-07-08,15599.89,3453.87,3
2024-07-09,15606.53,3551.54,3
2024-07-10,15781.68,9527.04,1
2024-07-11,15844.23,15844.23,0
2024-07-12,15844.23,9515.49,1
2024-07-15,15845.09,9515.49,1
2024-07-16,15907.52,15907.52,0
2024-07-17,15907.52,15907.52,0
2024-07-18,15907.52,15907.52,0
2024-07-19,15907.52,5815.37,2
2024-07-22,16008.44,3570.23,3
2024-07-23,16026.97,12284.18,1
2024-07-24,15854.63,15854.63,0
2024-07-25,15854.63,15854.63,0
2024-07-26,15854.63,9637.8,1
2024-07-29,15916.8,15916.8,0
2024-07-30,15916.8,15916.8,0
2024-07-31,15916.8,2155.19,4
2024-08-01,15165.39,5903.13,2
2024-08-02,14984.93,14984.93,0
2024-08-05,14984.93,9052.93,1
2024-08-06,15044.25,15044.25,0
2024-08-07,15044.25,5613.75,2
2024-08-08,15232.87,9178.03,1
2024-08-09,15173.47,5511.78,2
2024-08-12,15278.51,9288.02,1
2024-08-13,15403.41,9258.54,1
2024-08-14,15526.31,15526.31,0
2024-08-15,15526.31,15526.31,0
2024-08-16,15526.31,15526.31,0
2024-08-19,15526.31,15526.31,0
2024-08-20,15526.31,15526.31,0
2024-08-21,15526.31,15526.31,0
2024-08-22,15526.31,15526.31,0
2024-08-23,15526.31,5612.39,2
2024-08-26,15109.55,5612.39,2
2024-08-27,15232.37,5612.39,2
2024-08-28,15057.11,5612.39,2
2024-08-29,15250.31,5612.39,2
2024-08-30,16418.56,6017.52,2
2024-09-03,15804.94,12233.92,1
2024-09-04,15750.73,15750.73,0
2024-09-05,15750.73,9485.11,1
2024-09-06,15600.26,15600.26,0
2024-09-09,15600.26,5707.41,2
2024-09-10,15699.18,5769.11,2
2024-09-11,15798.48,15798.48,0
2024-09-12,15798.48,15798.48,0
2024-09-13,15798.48,15798.48,0
2024-09-16,15798.48,15798.48,0
