avg_dollar_volume,behavior,capital,close_date,close_price,close_reason,close_time_et,entry_date,entry_price,entry_rule,exit_price,held_sessions,highest_price,hold_days,id,initial_stop_price,latest_price,liquidity_cap,market_value,outcome,realized_pnl,realized_pnl_pct,selected_version,shares,status,stop_cap_pct,stop_price,strategy_id,strategy_source,technical_initial_stop_price,ticker,timeframe,unrealized_pnl,unrealized_pnl_pct,v3_quality_score,v3_reason
378080740.61,raw_breakout_swing,11952.9,2021-01-19,53.352,تحقق الهدف - تنفيذ خمس دقائق,12:45:00,2021-01-14,51.3,raw_breakout,53.352,2,51.7,8,V31-0001,47.9991,50.77,3780807.41,0.0,WIN,478.12,4.0,v31_from_v3:v3_raw_rebuild,233,CLOSED,,51.5565,MRVL_swing_raw_breakout_20_4_8_40_none,V3,47.9991,MRVL,swing,0.0,-1.03,115.34,نقاط الجودة 115.34؛ فوز 100.00%؛ متوسط 3.58%؛ أسوأ 1.00%
393580475.94,raw_breakout_swing,12158.19,2021-01-21,55.6802,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-01-19,53.7973,raw_breakout,55.9492,2,55.7,8,V31-0002,50.0921,54.05,3935804.76,0.0,TRAILING_WIN,425.54,3.5,v31_from_v3:v3_raw_rebuild,226,CLOSED,,55.6802,MRVL_swing_raw_breakout_20_4_8_40_none,V3,50.0921,MRVL,swing,0.0,0.47,115.34,نقاط الجودة 115.34؛ فوز 100.00%؛ متوسط 3.58%؛ أسوأ 1.00%
770433172.48,raw_trend_resume_swing,12341.72,2021-02-04,51.8972,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-02,51.639,raw_trend_resume,53.7046,2,52.1465,13,V31-0003,48.1051,50.433,7704331.72,0.0,TRAILING_WIN,61.71,0.5,v31_from_v3:v3_raw_rebuild,239,CLOSED,,51.8972,LRCX_swing_raw_trend_8_1.5_4_13_soft_market,V3,48.1051,LRCX,swing,0.0,-2.34,98.45,نقاط الجودة 98.45؛ فوز 100.00%؛ متوسط 3.00%؛ أسوأ 1.00%
777241121.71,raw_trend_resume_swing,12377.9,2021-02-08,52.268,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-04,52.008,raw_trend_resume,54.0883,2,52.5,13,V31-0004,48.1051,50.976,7772411.22,0.0,TRAILING_WIN,61.88,0.5,v31_from_v3:v3_raw_rebuild,238,CLOSED,,52.268,LRCX_swing_raw_trend_8_1.5_4_13_soft_market,V3,48.1051,LRCX,swing,0.0,-1.98,98.45,نقاط الجودة 98.45؛ فوز 100.00%؛ متوسط 3.00%؛ أسوأ 1.00%
779710161.37,raw_trend_resume_swing,12372.33,2021-02-10,53.8623,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-08,53.329,raw_trend_resume,55.4622,2,54.1,13,V31-0005,48.8682,52.774,7797101.61,0.0,TRAILING_WIN,123.72,1.0,v31_from_v3:v3_raw_rebuild,232,CLOSED,,53.8623,LRCX_swing_raw_trend_8_1.5_4_13_soft_market,V3,48.8682,LRCX,swing,0.0,-1.04,98.45,نقاط الجودة 98.45؛ فوز 100.00%؛ متوسط 3.00%؛ أسوأ 1.00%
438210004.92,raw_pullback_monthly,7427.52,2021-02-12,52.0958,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-08,51.58,raw_pullback_reversal,54.6748,4,52.24,25,V31-0006,48.41,52.11,4382100.05,0.0,TRAILING_WIN,74.28,1.0,v31_from_v3:v3_raw_rebuild,144,CLOSED,,52.0958,MRVL_monthly_raw_pullback_3_3_6_25_none,V3,48.41,MRVL,monthly,0.0,1.03,116.24,نقاط الجودة 116.24؛ فوز 100.00%؛ متوسط 4.33%؛ أسوأ 1.00%
3334556764.07,v1_success_monthly,9478.65,2021-02-12,15.2072,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-10,14.7643,v1_breakout,16.2407,2,15.2723,21,V31-0007,13.4523,15.2553,33345567.64,0.0,TRAILING_WIN,284.37,3.0,v31_from_v2:v2_from_v1_success,642,CLOSED,,15.2072,NVDA_monthly_breakout_100,V2,13.4523,NVDA,monthly,0.0,3.33,,
3684429851.19,v1_success_monthly,12601.47,2021-02-23,13.9449,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-16,15.3303,v1_breakout,16.8633,5,15.3303,21,V31-0008,13.9449,14.3527,36844298.51,0.0,LOSS,-1138.76,-9.04,v31_from_v2:v2_from_v1_success,822,CLOSED,,13.9449,NVDA_monthly_breakout_100,V2,13.9449,NVDA,monthly,0.0,-6.38,,
430908967.29,raw_pullback_monthly,7518.54,2021-02-22,51.9738,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-18,50.46,raw_pullback_reversal,53.4876,2,52.22,25,V31-0009,49.25,51.89,4309089.67,0.0,TRAILING_WIN,225.56,3.0,v31_from_v3:v3_raw_rebuild,149,CLOSED,,51.9738,MRVL_monthly_raw_pullback_3_3_6_25_none,V3,49.25,MRVL,monthly,0.0,2.83,116.24,نقاط الجودة 116.24؛ فوز 100.00%؛ متوسط 4.33%؛ أسوأ 1.00%
162407875.74,v1_success_monthly,4547.5,2021-02-22,18.8019,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,10:10:00,2021-02-19,19.4338,v1_rsi_recovery,21.3771,1,19.4338,21,V31-0010,18.8019,19.4338,1624078.76,0.0,LOSS,-147.86,-3.25,v31_from_v2:v2_from_v1_success,234,CLOSED,,18.8019,ANET_monthly_rsi_21_45,V2,18.8019,ANET,monthly,0.0,-0.0,,
